sender_account,receiver_account,amount,transaction_date,alert
A82,B23,5232.252872302801,2025-06-01 01:15:10.822227,1
A15,B39,1595.8746177355983,2026-02-09 01:15:10.822227,0
A4,B2,3734.7913011922574,2025-09-19 01:15:10.822227,0
A95,B91,2836.1068503580345,2025-12-13 01:15:10.822227,0
A36,B69,4093.60627850073,2026-02-21 01:15:10.822227,0
A32,B17,3390.2877969457813,2025-10-31 01:15:10.822227,0
A29,B36,5982.879765206065,2025-12-10 01:15:10.822227,1
A18,B6,7894.377046321011,2025-12-24 01:15:10.822227,1
A95,B7,6476.580516123376,2025-06-01 01:15:10.822227,1
A14,B71,668.4594242543775,2025-07-02 01:15:10.822227,0
A87,B38,954.1144156757924,2025-09-13 01:15:10.822227,0
A95,B90,6787.00965495241,2025-08-01 01:15:10.822227,1
A70,B17,2848.628269042356,2026-01-18 01:15:10.822227,0
A12,B82,7240.099213474593,2025-12-07 01:15:10.822227,1
A76,B97,6569.075223240675,2025-11-11 01:15:10.822227,1
A55,B63,9064.363544665135,2025-12-30 01:15:10.822227,1
A5,B14,8734.063823984783,2025-11-02 01:15:10.822227,1
A4,B2,3340.28674024496,2025-11-17 01:15:10.822227,0
A12,B74,5831.567750718332,2026-03-25 01:15:10.822227,1
A28,B37,1422.8695220373352,2025-08-07 01:15:10.822227,0
A30,B61,3504.7096674830836,2026-02-09 01:15:10.822227,0
A65,B62,9677.28811185052,2025-07-23 01:15:10.822227,1
A78,B57,6987.814828490691,2025-08-16 01:15:10.822227,1
A4,B44,3925.66026351025,2026-02-19 01:15:10.822227,0
A72,B24,5954.461869234232,2025-06-07 01:15:10.822227,1
A26,B7,9380.64197366195,2025-08-14 01:15:10.822227,1
A92,B33,3102.72305528545,2026-05-09 01:15:10.822227,0
A84,B62,3773.0262675024387,2025-09-28 01:15:10.822227,0
A90,B15,7918.7029590568,2025-05-25 01:15:10.822227,1
A70,B9,8133.715990309862,2026-02-04 01:15:10.822227,1
A54,B52,6704.462835947278,2025-10-10 01:15:10.822227,1
A29,B63,8291.3001392157,2025-12-24 01:15:10.822227,1
A58,B10,7390.358974573533,2025-06-02 01:15:10.822227,1
A76,B74,6857.2902583729865,2026-04-17 01:15:10.822227,1
A36,B81,5268.669463944399,2025-10-25 01:15:10.822227,1
A1,B88,6463.787959127544,2025-06-12 01:15:10.822227,1
A98,B7,4239.829599557816,2025-09-09 01:15:10.822227,0
A21,B20,3624.662682504378,2026-03-12 01:15:10.822227,0
A90,B20,3632.3507131306233,2025-07-02 01:15:10.822227,0
A55,B73,1810.826599539678,2025-12-18 01:15:10.822227,0
A44,B39,2149.7846854769145,2026-01-19 01:15:10.822227,0
A36,B11,9477.205992668125,2026-01-13 01:15:10.822227,1
A20,B32,4867.846499518546,2025-06-19 01:15:10.822227,0
A28,B16,2273.1650348735334,2026-03-05 01:15:10.822227,0
A98,B72,1384.2778782390221,2025-10-18 01:15:10.822227,0
A44,B98,780.8791921657544,2025-11-10 01:15:10.822227,0
A14,B54,8445.839602971975,2026-04-15 01:15:10.822227,1
A12,B78,1020.3962290422626,2025-10-05 01:15:10.822227,0
A49,B77,7711.038456427379,2025-07-20 01:15:10.822227,1
A13,B80,8352.847068079214,2025-09-19 01:15:10.822227,1
A46,B29,8837.98483327069,2025-07-28 01:15:10.822227,1
A45,B100,387.0974486520369,2025-10-29 01:15:10.822227,0
A78,B67,3374.276075923173,2025-08-22 01:15:10.822227,0
A34,B49,7665.412968427943,2025-09-05 01:15:10.822227,1
A6,B58,1319.179923880785,2025-06-02 01:15:10.822227,0
A94,B57,3773.4315095170214,2025-10-20 01:15:10.822227,0
A59,B39,1630.8496487636205,2025-08-17 01:15:10.822227,0
A69,B76,8315.137116324364,2026-05-04 01:15:10.822227,1
A16,B55,7713.267159172574,2025-11-19 01:15:10.822227,1
A49,B40,8092.346759196618,2025-05-28 01:15:10.822227,1
A11,B73,1663.7362657831463,2025-08-21 01:15:10.822227,0
A71,B80,4382.357317332084,2025-07-22 01:15:10.822227,0
A38,B8,4114.47752885037,2025-06-30 01:15:10.822227,0
A81,B79,6766.865592663444,2026-04-09 01:15:10.822227,1
A80,B95,2382.9267124547814,2026-03-28 01:15:10.822227,0
A47,B13,4447.545110954704,2026-01-15 01:15:10.822227,0
A74,B98,2856.430046307949,2025-06-20 01:15:10.822227,0
A25,B27,7487.879815773409,2025-06-16 01:15:10.822227,1
A91,B81,4494.7903507030705,2025-11-22 01:15:10.822227,0
A9,B28,5344.771385485628,2026-02-26 01:15:10.822227,1
A6,B34,3101.5842866622684,2025-06-25 01:15:10.822227,0
A85,B85,8088.152472196956,2025-07-13 01:15:10.822227,1
A30,B11,4695.465894272204,2026-04-30 01:15:10.822227,0
A99,B21,8352.782793329818,2025-08-07 01:15:10.822227,1
A38,B31,3684.7311726680778,2025-06-26 01:15:10.822227,0
A11,B23,9471.830400738789,2025-06-10 01:15:10.822227,1
A30,B71,9844.553537380458,2025-06-25 01:15:10.822227,1
A13,B10,4622.182984625482,2025-10-30 01:15:10.822227,0
A49,B21,2824.8996097107165,2025-12-04 01:15:10.822227,0
A36,B1,3824.9056175651976,2025-10-14 01:15:10.822227,0
A59,B53,5279.323286730212,2026-03-29 01:15:10.822227,1
A82,B58,9663.018850527413,2026-05-17 01:15:10.822227,1
A47,B89,8170.743483416589,2026-04-02 01:15:10.822227,1
A21,B77,8014.579649273961,2026-01-10 01:15:10.822227,1
A48,B61,1392.6013606882777,2026-01-29 01:15:10.822227,0
A46,B38,2507.5320837741806,2025-09-03 01:15:10.822227,0
A27,B5,6415.378571682427,2025-08-30 01:15:10.822227,1
A86,B30,8742.428281071849,2025-08-10 01:15:10.822227,1
A35,B37,5549.862046790068,2025-07-29 01:15:10.822227,1
A90,B91,1034.8714201666094,2025-06-04 01:15:10.822227,0
A88,B37,8460.46384456705,2025-08-01 01:15:10.822227,1
A83,B90,8513.14882036694,2026-01-29 01:15:10.822227,1
A10,B59,2857.7795104526913,2025-10-06 01:15:10.822227,0
A78,B10,7633.537134613992,2025-11-12 01:15:10.822227,1
A82,B88,2735.185082917653,2025-11-03 01:15:10.822227,0
A22,B30,9054.00902769263,2025-09-27 01:15:10.822227,1
A69,B34,1482.0130733561268,2025-06-09 01:15:10.822227,0
A94,B81,4380.3508763478585,2025-07-25 01:15:10.822227,0
A32,B76,9464.66849748749,2025-06-03 01:15:10.822227,1
A21,B85,2228.1596890007363,2025-09-08 01:15:10.822227,0
A60,B26,4516.768622304882,2026-03-06 01:15:10.822227,0
A49,B55,3502.3549306051027,2025-11-27 01:15:10.822227,0
A35,B15,276.4352061213559,2026-05-10 01:15:10.822227,0
A82,B70,542.0363028390339,2025-09-17 01:15:10.822227,0
A89,B29,5025.051075785422,2026-03-30 01:15:10.822227,1
A72,B83,2365.422957895692,2025-12-22 01:15:10.822227,0
A29,B20,9945.30825887053,2025-10-22 01:15:10.822227,1
A88,B35,3755.377607443498,2026-04-09 01:15:10.822227,0
A42,B19,291.59357982621907,2026-03-24 01:15:10.822227,0
A99,B10,9308.950788452032,2026-03-11 01:15:10.822227,1
A100,B8,8393.37111323994,2025-11-25 01:15:10.822227,1
A8,B22,6503.107236098875,2025-12-14 01:15:10.822227,1
A30,B40,7915.892568446939,2025-11-28 01:15:10.822227,1
A5,B77,1384.6198813814578,2025-10-01 01:15:10.822227,0
A41,B96,2875.925179159549,2026-02-06 01:15:10.822227,0
A52,B73,8299.318215696698,2025-08-29 01:15:10.822227,1
A35,B37,6963.759165874077,2025-09-17 01:15:10.822227,1
A9,B57,1396.5389912636801,2025-11-25 01:15:10.822227,0
A28,B16,7058.306391137913,2025-09-21 01:15:10.822227,1
A73,B60,4491.528725082643,2026-04-03 01:15:10.822227,0
A92,B89,62.45947107312315,2025-10-10 01:15:10.822227,0
A41,B39,801.4654549945055,2025-05-31 01:15:10.822227,0
A28,B90,2566.6800450860765,2025-10-03 01:15:10.822227,0
A84,B52,8351.281361830986,2025-12-10 01:15:10.822227,1
A64,B35,5492.554411983916,2026-04-18 01:15:10.822227,1
A51,B65,7275.075505396068,2025-12-20 01:15:10.822227,1
A83,B70,5282.437343808376,2026-04-30 01:15:10.822227,1
A59,B64,1120.7567346391418,2025-05-24 01:15:10.822227,0
A19,B57,2888.134764611913,2026-03-25 01:15:10.822227,0
A34,B11,3018.5004339163374,2026-05-11 01:15:10.822227,0
A18,B77,487.01697172232423,2025-11-28 01:15:10.822227,0
A32,B6,4204.057182096896,2025-06-25 01:15:10.822227,0
A96,B56,7941.052095307987,2026-03-28 01:15:10.822227,1
A72,B95,4576.565030198122,2025-06-10 01:15:10.822227,0
A69,B42,1117.4703739472498,2026-02-27 01:15:10.822227,0
A34,B78,9052.417387763366,2026-01-18 01:15:10.822227,1
A96,B33,5971.42303776128,2025-08-31 01:15:10.822227,1
A75,B4,174.18916853688532,2026-02-22 01:15:10.822227,0
A55,B12,5158.603544791967,2025-08-13 01:15:10.822227,1
A75,B30,2426.9619628657233,2026-03-02 01:15:10.822227,0
A52,B87,1444.332634060138,2025-12-04 01:15:10.822227,0
A47,B74,4298.096542102304,2025-08-09 01:15:10.822227,0
A29,B76,6151.9477319317475,2025-10-16 01:15:10.822227,1
A18,B3,2413.23674567737,2025-09-28 01:15:10.822227,0
A66,B98,4171.510276133313,2026-01-24 01:15:10.822227,0
A64,B87,6647.069304402671,2025-10-27 01:15:10.822227,1
A12,B35,865.283410322745,2025-07-04 01:15:10.822227,0
A97,B74,9746.798364612694,2026-02-17 01:15:10.822227,1
A7,B6,686.1164358593719,2026-02-16 01:15:10.822227,0
A15,B98,5265.333858768484,2025-06-29 01:15:10.822227,1
A20,B97,5078.203688832068,2025-06-20 01:15:10.822227,1
A81,B23,9883.43154110871,2025-10-13 01:15:10.822227,1
A21,B61,5545.9780046577725,2025-11-01 01:15:10.822227,1
A88,B67,3910.63278827504,2026-05-08 01:15:10.822227,0
A55,B84,4706.649430803275,2025-07-12 01:15:10.822227,0
A77,B57,6360.351206771614,2026-02-10 01:15:10.822227,1
A9,B36,9810.583831290087,2025-10-04 01:15:10.822227,1
A50,B24,2543.9661080814353,2025-07-23 01:15:10.822227,0
A49,B75,172.25988877838677,2025-10-15 01:15:10.822227,0
A77,B56,7887.3149626323575,2025-11-04 01:15:10.822227,1
A60,B82,3454.576906702279,2026-05-20 01:15:10.822227,0
A68,B63,7332.08080429191,2025-05-27 01:15:10.822227,1
A33,B12,6286.287055131807,2026-02-02 01:15:10.822227,1
A71,B61,7717.298727357493,2026-02-06 01:15:10.822227,1
A2,B45,7354.517978274989,2025-12-31 01:15:10.822227,1
A88,B53,3331.860897636129,2025-05-27 01:15:10.822227,0
A93,B43,452.91352606912966,2026-04-20 01:15:10.822227,0
A15,B42,5464.677314624838,2025-07-31 01:15:10.822227,1
A88,B86,8136.95356690532,2026-03-31 01:15:10.822227,1
A69,B14,1759.1403792465671,2025-08-21 01:15:10.822227,0
A97,B21,7793.634508848032,2026-02-16 01:15:10.822227,1
A35,B43,4651.582768472907,2025-11-16 01:15:10.822227,0
A99,B53,6956.938627440679,2025-12-07 01:15:10.822227,1
A83,B89,6321.041119105795,2026-02-11 01:15:10.822227,1
A44,B64,8116.861841657588,2025-09-30 01:15:10.822227,1
A15,B37,640.374364951924,2026-03-25 01:15:10.822227,0
A38,B85,7764.142093037183,2026-01-08 01:15:10.822227,1
A56,B52,4582.218978699058,2025-06-13 01:15:10.822227,0
A21,B98,2941.491286038562,2025-09-14 01:15:10.822227,0
A59,B71,447.62469383463974,2025-08-25 01:15:10.822227,0
A1,B5,2002.7036388147314,2025-06-29 01:15:10.822227,0
A93,B59,428.64035988451616,2025-12-13 01:15:10.822227,0
A93,B12,9334.376089704469,2025-07-21 01:15:10.822227,1
A34,B41,5158.682056652443,2025-11-05 01:15:10.822227,1
A65,B33,9891.335795938274,2025-07-14 01:15:10.822227,1
A98,B42,5434.876669565317,2025-11-03 01:15:10.822227,1
A23,B15,2540.6045143741476,2025-07-26 01:15:10.822227,0
A65,B99,7535.37627900046,2026-03-25 01:15:10.822227,1
A14,B52,1919.12327303177,2025-11-25 01:15:10.822227,0
A81,B66,3576.1720185932804,2025-11-23 01:15:10.822227,0
A39,B1,7810.607254114466,2025-09-30 01:15:10.822227,1
A82,B85,8659.324788009795,2025-07-10 01:15:10.822227,1
A65,B70,3325.927616949632,2026-02-23 01:15:10.822227,0
A78,B60,1253.5053323613902,2025-06-12 01:15:10.822227,0
A26,B53,3686.5115514035833,2025-05-26 01:15:10.822227,0
A20,B7,8895.97030495269,2025-12-21 01:15:10.822227,1
A48,B25,7435.643978141016,2025-07-12 01:15:10.822227,1
A98,B67,8947.428574600983,2025-07-24 01:15:10.822227,1
A21,B47,3872.5812349243147,2026-04-09 01:15:10.822227,0
A70,B80,9737.498607309937,2025-06-12 01:15:10.822227,1
A100,B97,4967.070233104856,2026-03-15 01:15:10.822227,0
A68,B64,4980.258691011337,2025-12-13 01:15:10.822227,0
A1,B81,9243.861561603366,2026-03-23 01:15:10.822227,1
A77,B57,5197.565776814071,2026-01-20 01:15:10.822227,1
A42,B98,8013.4693931437205,2025-12-17 01:15:10.822227,1
A63,B7,7273.542430182931,2026-03-24 01:15:10.822227,1
A3,B27,798.4807904941241,2026-02-18 01:15:10.822227,0
A15,B35,6028.50845531397,2025-11-12 01:15:10.822227,1
A47,B71,8225.189382603468,2025-06-01 01:15:10.822227,1
A40,B17,5459.289229472924,2026-03-11 01:15:10.822227,1
A31,B37,3218.902167863794,2025-09-03 01:15:10.822227,0
A8,B57,809.8884216392025,2025-11-05 01:15:10.822227,0
A31,B90,6612.583022366785,2025-10-20 01:15:10.822227,1
A73,B63,3071.893602346617,2025-07-21 01:15:10.822227,0
A11,B16,6030.190061028692,2026-03-13 01:15:10.822227,1
A11,B4,4266.899568101624,2025-08-01 01:15:10.822227,0
A94,B81,6900.750436370407,2025-11-07 01:15:10.822227,1
A63,B78,3521.954367882201,2025-10-18 01:15:10.822227,0
A9,B31,433.12807687279394,2026-02-16 01:15:10.822227,0
A98,B91,8701.671378813357,2025-09-15 01:15:10.822227,1
A69,B21,3532.067509981738,2025-07-01 01:15:10.822227,0
A99,B40,9981.52447175276,2025-08-20 01:15:10.822227,1
A17,B71,2752.8080471478274,2025-06-01 01:15:10.822227,0
A17,B2,9800.472519150848,2025-06-26 01:15:10.822227,1
A85,B71,9479.564742244833,2026-02-23 01:15:10.822227,1
A61,B53,759.6612382317111,2025-08-11 01:15:10.822227,0
A71,B12,6378.75025345415,2026-02-26 01:15:10.822227,1
A22,B29,3639.478195203313,2025-09-14 01:15:10.822227,0
A34,B15,8012.9487958660775,2025-12-26 01:15:10.822227,1
A68,B60,6797.311972068752,2026-03-12 01:15:10.822227,1
A78,B16,9528.366068833282,2026-02-16 01:15:10.822227,1
A55,B83,1436.3668889418718,2025-12-12 01:15:10.822227,0
A28,B20,6079.653304175345,2025-10-04 01:15:10.822227,1
A70,B64,7815.30657773723,2025-07-09 01:15:10.822227,1
A97,B92,357.64166832743484,2026-04-25 01:15:10.822227,0
A94,B38,681.661296990467,2025-11-20 01:15:10.822227,0
A89,B66,7787.368581333585,2026-05-18 01:15:10.822227,1
A26,B91,3669.621446340414,2025-09-16 01:15:10.822227,0
A92,B35,3834.7154728708892,2026-03-14 01:15:10.822227,0
A40,B54,5676.773970823953,2026-02-12 01:15:10.822227,1
A52,B62,6054.897340259307,2025-11-07 01:15:10.822227,1
A86,B61,6793.829948564816,2025-08-08 01:15:10.822227,1
A84,B32,9488.747057362909,2025-09-06 01:15:10.822227,1
A48,B59,3726.4136509221303,2025-06-22 01:15:10.822227,0
A57,B71,7633.2138732678095,2025-09-11 01:15:10.822227,1
