sender_account,receiver_account,amount,transaction_date,alert
A82,B72,4249.892871014397,2025-07-05 00:51:43.471397,0
A15,B84,2807.318875590128,2025-06-27 00:51:43.471397,0
A4,B4,6222.911071783088,2026-05-03 00:51:43.471397,1
A95,B13,3213.0877495644418,2025-11-28 00:51:43.471397,0
A36,B13,7103.90854550805,2026-02-05 00:51:43.471397,1
A32,B25,1883.850567571928,2025-08-14 00:51:43.471397,0
A29,B8,8486.302655773567,2026-03-12 00:51:43.471397,1
A18,B67,2000.3614973516321,2025-06-29 00:51:43.471397,0
A95,B41,4734.603179759289,2025-07-22 00:51:43.471397,0
A14,B18,6459.686841046428,2026-04-24 00:51:43.471397,1
A87,B28,7758.338553342931,2026-01-17 00:51:43.471397,1
A95,B14,1585.0387807837435,2026-02-22 00:51:43.471397,0
A70,B46,4118.166745602782,2025-10-06 00:51:43.471397,0
A12,B52,4426.562216808255,2025-07-09 00:51:43.471397,0
A76,B69,3809.6705564552085,2025-07-26 00:51:43.471397,0
A55,B99,5488.51824933821,2026-01-10 00:51:43.471397,1
A5,B22,2420.630765113162,2025-06-05 00:51:43.471397,0
A4,B31,3446.429945432182,2025-10-14 00:51:43.471397,0
A12,B38,2873.8435918844293,2026-02-25 00:51:43.471397,0
A28,B24,9108.969827165403,2025-07-05 00:51:43.471397,1
A30,B70,7263.42061060116,2025-10-26 00:51:43.471397,1
A65,B33,4051.837915869168,2025-10-10 00:51:43.471397,0
A78,B92,3903.9621931259285,2026-02-04 00:51:43.471397,0
A4,B2,3235.326345298731,2026-02-13 00:51:43.471397,0
A72,B94,2295.522895137547,2025-05-31 00:51:43.471397,0
A26,B17,9502.103307015752,2026-01-19 00:51:43.471397,1
A92,B19,8934.04585649467,2025-10-11 00:51:43.471397,1
A84,B93,3504.515493431394,2025-12-08 00:51:43.471397,0
A90,B95,5006.688350350685,2025-08-03 00:51:43.471397,1
A70,B33,9849.714390186227,2026-03-04 00:51:43.471397,1
A54,B51,5899.716039455303,2026-01-22 00:51:43.471397,1
A29,B23,7343.993626524063,2025-05-22 00:51:43.471397,1
A58,B51,8452.915700930042,2025-08-06 00:51:43.471397,1
A76,B62,5298.806434841852,2025-08-17 00:51:43.471397,1
A36,B11,7585.781026442189,2026-03-27 00:51:43.471397,1
A1,B81,633.5320818805507,2025-08-28 00:51:43.471397,0
A98,B32,9310.814337471691,2026-02-26 00:51:43.471397,1
A21,B100,4722.661941778847,2025-05-22 00:51:43.471397,0
A90,B21,6843.654743432698,2026-03-24 00:51:43.471397,1
A55,B2,2527.969967665677,2025-06-07 00:51:43.471397,0
A44,B18,7452.107897191552,2025-08-15 00:51:43.471397,1
A36,B41,5776.683203061917,2026-05-19 00:51:43.471397,1
A20,B32,7858.251236828197,2025-09-29 00:51:43.471397,1
A28,B97,9690.90352433269,2025-12-21 00:51:43.471397,1
A98,B33,3350.3791876409528,2026-04-02 00:51:43.471397,0
A44,B21,7045.338682611229,2026-04-26 00:51:43.471397,1
A14,B31,7591.2488881712225,2026-05-11 00:51:43.471397,1
A12,B69,8157.83314405465,2025-05-29 00:51:43.471397,1
A49,B55,1245.5018800989776,2026-02-24 00:51:43.471397,0
A13,B57,8637.995690706664,2026-04-25 00:51:43.471397,1
A46,B6,8374.179252252294,2025-08-03 00:51:43.471397,1
A45,B58,2238.8455719273047,2026-01-06 00:51:43.471397,0
A78,B61,556.069759445202,2026-02-17 00:51:43.471397,0
A34,B50,5333.790876748741,2025-11-17 00:51:43.471397,1
A6,B4,2084.5629787254716,2025-08-18 00:51:43.471397,0
A94,B40,7367.716588917757,2026-01-03 00:51:43.471397,1
A59,B99,9196.952446766194,2025-09-03 00:51:43.471397,1
A69,B18,8994.17018288119,2025-10-02 00:51:43.471397,1
A16,B80,1055.8581546874368,2026-03-11 00:51:43.471397,0
A49,B94,8351.682741552908,2026-05-12 00:51:43.471397,1
A11,B26,4273.557666323976,2025-11-30 00:51:43.471397,0
A71,B84,8928.825956915283,2025-09-10 00:51:43.471397,1
A38,B82,9063.113482768205,2026-02-23 00:51:43.471397,1
A81,B85,7842.090943290499,2025-12-24 00:51:43.471397,1
A80,B85,6483.8453502059465,2025-09-18 00:51:43.471397,1
A47,B76,4529.870431733107,2026-05-12 00:51:43.471397,0
A74,B97,1402.5314252901758,2025-08-13 00:51:43.471397,0
A25,B69,9456.827545642342,2026-03-17 00:51:43.471397,1
A91,B64,7599.84912848933,2025-09-15 00:51:43.471397,1
A9,B82,5750.832252810445,2025-11-06 00:51:43.471397,1
A6,B91,2077.0869273753765,2025-06-03 00:51:43.471397,0
A85,B55,6791.868360027979,2025-08-21 00:51:43.471397,1
A30,B91,6397.248189902678,2025-10-17 00:51:43.471397,1
A99,B51,1488.5645136033725,2026-03-19 00:51:43.471397,0
A38,B61,6382.179992392014,2026-04-07 00:51:43.471397,1
A11,B39,6015.068359881383,2025-12-16 00:51:43.471397,1
A30,B7,6363.54716981009,2026-04-24 00:51:43.471397,1
A13,B70,2492.631619741782,2026-01-17 00:51:43.471397,0
A49,B90,9836.493346104477,2025-05-25 00:51:43.471397,1
A36,B64,1443.3820083462797,2025-08-14 00:51:43.471397,0
A59,B63,3265.256405850925,2025-06-29 00:51:43.471397,0
A82,B18,8070.932966332585,2026-04-23 00:51:43.471397,1
A47,B10,6533.616936065325,2025-07-07 00:51:43.471397,1
A21,B6,964.067402161733,2026-04-15 00:51:43.471397,0
A48,B58,9925.293084843694,2025-06-15 00:51:43.471397,1
A46,B84,9029.831801066413,2025-09-21 00:51:43.471397,1
A27,B44,2841.4922834781064,2025-10-12 00:51:43.471397,0
A86,B23,8534.780761869364,2026-02-15 00:51:43.471397,1
A35,B38,8748.562852226361,2025-12-02 00:51:43.471397,1
A90,B89,5469.53062318636,2025-11-15 00:51:43.471397,1
A88,B7,6613.287913412487,2025-11-30 00:51:43.471397,1
A83,B3,5388.843739233431,2025-09-07 00:51:43.471397,1
A10,B31,764.4973545381229,2025-07-25 00:51:43.471397,0
A78,B28,105.51510892085045,2026-01-09 00:51:43.471397,0
A82,B90,2565.1155964554173,2025-09-14 00:51:43.471397,0
A22,B5,2924.242192139072,2025-07-27 00:51:43.471397,0
A69,B48,2746.9887210808038,2025-10-19 00:51:43.471397,0
A94,B10,2466.975124820786,2025-09-23 00:51:43.471397,0
A32,B3,9284.065405944826,2025-12-27 00:51:43.471397,1
A21,B89,5565.706977865033,2026-03-27 00:51:43.471397,1
A60,B87,540.2043744327584,2025-12-23 00:51:43.471397,0
A49,B97,5422.318803629051,2025-12-08 00:51:43.471397,1
A35,B77,3811.5111026679756,2025-09-09 00:51:43.471397,0
A82,B92,4111.685012833744,2026-03-30 00:51:43.471397,0
A89,B64,5195.414837887215,2026-04-15 00:51:43.471397,1
A72,B19,6560.2603327625175,2026-03-09 00:51:43.471397,1
A29,B37,3152.436486517087,2025-10-11 00:51:43.471397,0
A88,B60,2096.412923821445,2026-04-26 00:51:43.471397,0
A42,B18,2488.8039702689334,2025-06-06 00:51:43.471397,0
A99,B45,9831.190211522906,2025-08-31 00:51:43.471397,1
A100,B36,1565.004964087667,2025-09-13 00:51:43.471397,0
A8,B24,8761.781945304245,2025-10-03 00:51:43.471397,1
A30,B56,2423.861605362901,2026-05-02 00:51:43.471397,0
A5,B45,2416.6030028099813,2026-03-03 00:51:43.471397,0
A41,B38,6148.89780691537,2025-07-25 00:51:43.471397,1
A52,B9,2116.188260584238,2025-08-24 00:51:43.471397,0
A35,B56,2767.3010966153815,2025-06-25 00:51:43.471397,0
A9,B96,4299.746279972551,2025-07-04 00:51:43.471397,0
A28,B86,3501.466320398492,2025-08-02 00:51:43.471397,0
A73,B69,5678.223270865724,2026-04-02 00:51:43.471397,1
