sender_account,receiver_account,amount,transaction_date,alert
A82,B76,2043.5448345632117,2026-03-12 00:58:26.173885,0
A15,B71,4130.259413470911,2026-03-08 00:58:26.173885,0
A4,B45,8238.869937938269,2025-08-28 00:58:26.173885,1
A95,B45,6463.966109709719,2025-12-26 00:58:26.173885,1
A36,B21,2571.901882452372,2026-05-09 00:58:26.173885,0
A32,B34,6016.310374058313,2026-01-29 00:58:26.173885,1
A29,B96,4064.600733089814,2025-11-14 00:58:26.173885,0
A18,B89,1144.450180516562,2025-08-07 00:58:26.173885,0
A95,B12,1927.2409546879276,2025-11-18 00:58:26.173885,0
A14,B37,2463.410232085564,2025-05-22 00:58:26.173885,0
A87,B4,8274.015953036398,2025-12-24 00:58:26.173885,1
A95,B50,4646.955412097049,2025-12-16 00:58:26.173885,0
A70,B7,5602.651855223015,2026-03-02 00:58:26.173885,1
A12,B21,4366.967781007074,2025-08-05 00:58:26.173885,0
A76,B74,6472.751291524616,2025-07-02 00:58:26.173885,1
A55,B100,379.66730987940053,2025-12-17 00:58:26.173885,0
A5,B28,1601.9913007646242,2025-09-21 00:58:26.173885,0
A4,B29,1372.9419818604526,2025-05-22 00:58:26.173885,0
A12,B83,2591.384506216657,2025-10-09 00:58:26.173885,0
A28,B29,8037.346447743043,2025-06-12 00:58:26.173885,1
A30,B87,6590.120419275418,2025-12-23 00:58:26.173885,1
A65,B27,1768.092366728896,2026-03-04 00:58:26.173885,0
A78,B35,8526.684964909415,2025-06-01 00:58:26.173885,1
A4,B84,9638.231036346519,2026-03-18 00:58:26.173885,1
A72,B53,4863.561235774421,2026-03-08 00:58:26.173885,0
A26,B66,208.88832787215256,2025-07-15 00:58:26.173885,0
A92,B3,8597.244189128947,2025-12-24 00:58:26.173885,1
A84,B100,848.4561152451379,2025-11-07 00:58:26.173885,0
A90,B99,6019.981404817192,2026-01-11 00:58:26.173885,1
A70,B88,8673.046079689124,2025-06-30 00:58:26.173885,1
A54,B2,9006.743100891514,2026-01-26 00:58:26.173885,1
A29,B61,4075.998447081183,2026-05-08 00:58:26.173885,0
A58,B17,3640.7081098109775,2026-02-03 00:58:26.173885,0
A76,B83,6577.731726455214,2025-07-28 00:58:26.173885,1
A36,B23,912.1598615868495,2025-12-18 00:58:26.173885,0
A1,B77,9432.189798948963,2026-03-08 00:58:26.173885,1
A98,B2,7245.102187090182,2025-07-27 00:58:26.173885,1
A21,B29,1414.1959175322281,2026-05-16 00:58:26.173885,0
A90,B33,1128.204315260231,2026-01-10 00:58:26.173885,0
A55,B78,7347.459266837558,2025-11-17 00:58:26.173885,1
A44,B40,9330.02511952236,2025-09-04 00:58:26.173885,1
A36,B92,5224.356013130614,2025-08-31 00:58:26.173885,1
A20,B91,8291.526010918566,2025-10-27 00:58:26.173885,1
A28,B83,9497.248258392567,2025-09-20 00:58:26.173885,1
A98,B36,9316.240696142231,2025-07-10 00:58:26.173885,1
A44,B55,2525.5625038560215,2026-02-24 00:58:26.173885,0
A14,B49,8846.802974653134,2025-11-27 00:58:26.173885,1
A12,B45,2388.387783856801,2025-06-27 00:58:26.173885,0
A49,B59,1231.5455662025272,2026-03-04 00:58:26.173885,0
A13,B33,8068.805583722659,2025-07-26 00:58:26.173885,1
A46,B28,3299.5662505553532,2025-09-08 00:58:26.173885,0
A45,B60,5847.418943606251,2025-12-13 00:58:26.173885,1
A78,B39,3905.6071818646606,2025-08-28 00:58:26.173885,0
A34,B87,7486.258550227806,2025-11-12 00:58:26.173885,1
A6,B67,2367.0214109543404,2025-11-10 00:58:26.173885,0
A94,B80,4234.46129484403,2025-09-16 00:58:26.173885,0
A59,B51,1451.3363079508542,2025-06-25 00:58:26.173885,0
A69,B75,1759.791011802444,2026-02-25 00:58:26.173885,0
A16,B14,9699.53552464193,2025-08-27 00:58:26.173885,1
A49,B1,4400.3593731647115,2025-09-18 00:58:26.173885,0
A11,B66,2550.516145530122,2026-02-22 00:58:26.173885,0
A71,B85,5898.9146345011495,2025-09-17 00:58:26.173885,1
A38,B48,4908.682215730584,2025-11-09 00:58:26.173885,0
A81,B72,3753.302795880891,2026-05-15 00:58:26.173885,0
A80,B83,9487.62178576353,2025-06-14 00:58:26.173885,1
A47,B77,3171.734564915246,2026-04-19 00:58:26.173885,0
A74,B78,4243.575352235083,2025-11-28 00:58:26.173885,0
A25,B37,6830.557090871061,2026-01-27 00:58:26.173885,1
A91,B39,9633.520246256592,2025-12-15 00:58:26.173885,1
A9,B88,8795.541073418332,2026-02-06 00:58:26.173885,1
A6,B14,9370.35319065799,2026-01-28 00:58:26.173885,1
A85,B62,3636.350142564367,2026-03-07 00:58:26.173885,0
A30,B9,7159.555578930045,2025-12-31 00:58:26.173885,1
A99,B44,8215.440008257568,2025-07-15 00:58:26.173885,1
A38,B36,220.53136235119226,2026-03-22 00:58:26.173885,0
A11,B82,9668.383541801884,2025-06-24 00:58:26.173885,1
A30,B42,6062.089181376593,2026-02-11 00:58:26.173885,1
A13,B36,8416.314935513605,2025-11-21 00:58:26.173885,1
A49,B34,6625.61211005914,2025-09-09 00:58:26.173885,1
A36,B84,9409.074281500105,2025-09-29 00:58:26.173885,1
A59,B92,6909.917728270577,2025-08-04 00:58:26.173885,1
A82,B84,7890.139079982563,2025-06-30 00:58:26.173885,1
A47,B39,2404.361533800505,2026-05-16 00:58:26.173885,0
